No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
-,-,-,-,MW,Tc,Pc,Vc,Zc,AcFa,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,K,MPa,m3/kmol,-,-,kJ/mol,kJ/mol,J/mol.K,kJ/mol
84,Dibutyl ether,C8H18O,142-96-1,130.228,584.1,2.46,0.487,0.247,0.4476,-333.4,-88.27,501.4,-49.4691
85,m-Dichlorobenzene,C6H4Cl2,541-73-1,147.002,683.95,4.07,0.351,0.251,0.279,25.7,77.9,343.53,-28.25
86,o-Dichlorobenzene,C6H4Cl2,95-50-1,147.002,705,4.07,0.351,0.244,0.2192,30.2,82.9,341.85,-28.26
87,p-Dichlorobenzene,C6H4Cl2,106-46-7,147.002,684.75,4.07,0.351,0.251,0.2846,22.5,76.7,336.74,-28.02
88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.959,523,5.07,0.24,0.28,0.2339,-129.41,-72.59,305.01,-11.104
89,"1,2-Dichloroethane",C2H4Cl2,107-06-2,98.959,561.6,5.37,0.22,0.253,0.2866,-129.79,-73.945,308.28,-11.05
90,Dichloromethane,CH2Cl2,1975-09-02,84.933,510,6.08,0.185,0.265,0.1986,-95.52,-68.96,270.18,-5.1388
91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.986,560,4.24,0.291,0.265,0.2529,-150.8,-65.2,344.8,-17.2
92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.986,572,4.24,0.291,0.259,0.2564,-162.8,-80.18,354.8,-17.07
93,Diethanol amine,C4H11NO2,111-42-2,105.136,736.6,4.27,0.349,0.243,0.9529,-408.47,-225.74,429,-24.105
94,Diethyl amine,C4H11N,109-89-7,73.137,496.6,3.71,0.301,0.27,0.3039,-71.42,73.08,352.2,-28.003
95,Diethyl ether,C4H10O,60-29-7,74.122,466.7,3.64,0.28,0.263,0.2811,-252.1,-122.1,342.3,-25.035
96,Diethyl sulfide,C4H10S,352-93-2,90.187,557.15,3.96,0.318,0.272,0.29,-83.56,17.74,368.1,-29.607
